Date,Open,High,Low,Close,Volume,Adj Close
2016-11-02,7.31,7.58,6.98,7.56,13146100,7.56
2016-11-01,6.84,6.98,6.49,6.92,18064100,6.92
2016-10-31,5.40,6.13,5.36,6.10,15190700,6.10
2016-10-28,5.79,5.85,5.52,5.54,12166300,5.54
2016-10-27,6.03,6.24,5.63,5.86,19337900,5.86
2016-10-26,5.75,6.33,5.60,5.91,25569700,5.91
2016-10-25,5.19,5.49,5.07,5.45,25051800,5.45
2016-10-24,4.62,4.77,4.61,4.68,10432600,4.68
2016-10-21,4.47,4.61,4.43,4.58,12155200,4.58
2016-10-20,4.27,4.43,4.14,4.25,16752200,4.25
2016-10-19,4.24,4.31,4.19,4.22,8740800,4.22
2016-10-18,3.97,4.05,3.89,4.03,6800700,4.03
2016-10-17,4.13,4.22,4.07,4.08,6484000,4.08
2016-10-14,4.01,4.09,3.97,4.04,9315500,4.04
2016-10-13,4.44,4.60,3.87,3.95,25351900,3.95
2016-10-12,4.40,4.49,4.25,4.40,7475300,4.40
2016-10-11,4.40,4.44,4.24,4.37,16629200,4.37
2016-10-10,4.44,4.46,4.16,4.24,14802500,4.24
2016-10-07,5.10,5.15,4.42,4.58,26706600,4.58
2016-10-06,5.33,5.70,5.19,5.34,22191900,5.34
2016-10-05,5.88,5.97,5.23,5.38,10525300,5.38
2016-10-04,6.20,6.29,5.63,5.75,11734200,5.75
2016-10-03,6.28,6.38,5.99,6.13,10911100,6.13
2016-09-30,5.93,6.22,5.93,6.08,15194100,6.08
2016-09-29,5.79,5.87,5.50,5.76,24451500,5.76
2016-09-28,5.76,5.89,5.58,5.58,9217800,5.58
2016-09-27,5.33,5.43,5.24,5.37,5057500,5.37
2016-09-26,5.41,5.45,5.20,5.23,8047600,5.23
2016-09-23,5.29,5.63,5.28,5.43,10332700,5.43
2016-09-22,4.91,5.34,4.89,5.32,19679800,5.32
2016-09-21,5.05,5.14,4.94,4.95,8763400,4.95
2016-09-20,5.26,5.30,4.98,5.00,15125300,5.00
2016-09-19,5.77,5.82,5.64,5.65,6473100,5.65
2016-09-16,5.89,5.90,5.50,5.55,9081100,5.55
2016-09-15,6.05,6.19,5.60,5.71,18625400,5.71
2016-09-14,5.67,6.07,5.60,5.87,11189600,5.87
2016-09-13,5.69,5.89,5.65,5.79,9433400,5.79
2016-09-12,5.96,5.98,5.73,5.87,15883300,5.87
2016-09-09,6.27,6.60,6.21,6.56,6305900,6.56
2016-09-08,7.00,7.03,6.31,6.47,13410500,6.47
2016-09-07,7.08,7.60,7.02,7.48,8142100,7.48
2016-09-06,6.98,7.25,6.95,7.17,8552600,7.17
2016-09-02,6.49,6.72,6.43,6.68,9560000,6.68
2016-09-01,6.39,6.69,6.25,6.57,16642100,6.57
2016-08-31,6.40,6.40,5.98,6.12,10876200,6.12
2016-08-30,5.89,6.54,5.88,6.43,12418700,6.43
2016-08-29,6.01,6.25,5.84,6.09,11586000,6.09
2016-08-26,6.22,6.26,5.73,6.08,15148800,6.08
2016-08-25,6.34,6.45,6.02,6.18,15524800,6.18
