Date,Open,High,Low,Close,Volume,Adj Close
2016-11-02,6.20,6.60,6.10,6.10,40500,6.10
2016-11-01,6.45,6.55,6.10,6.16,20900,6.16
2016-10-31,6.70,6.75,6.30,6.35,15500,6.35
2016-10-28,6.45,6.75,6.33,6.75,18800,6.75
2016-10-27,6.70,6.70,5.95,6.50,29300,6.50
2016-10-26,5.70,6.37,5.45,6.20,67900,6.20
2016-10-25,5.30,5.70,5.30,5.70,19300,5.70
2016-10-24,5.80,5.85,5.25,5.35,31200,5.35
2016-10-21,6.65,6.65,5.65,5.70,56700,5.70
2016-10-20,6.35,6.82,6.35,6.40,22400,6.40
2016-10-19,6.16,6.40,6.10,6.35,26500,6.35
2016-10-18,5.95,6.40,5.95,6.20,29400,6.20
2016-10-17,5.40,6.00,5.35,5.80,27600,5.80
2016-10-14,5.70,5.95,5.49,5.60,18600,5.60
2016-10-13,5.65,5.68,5.30,5.68,18200,5.68
2016-10-12,5.04,6.49,5.04,5.60,64400,5.60
2016-10-11,5.02,5.19,4.88,5.04,24300,5.04
2016-10-10,4.80,5.03,4.68,5.02,20100,5.02
2016-10-07,4.55,4.80,4.16,4.80,48700,4.80
2016-10-06,4.79,4.79,4.50,4.57,19300,4.57
2016-10-05,4.90,4.90,4.55,4.75,20900,4.75
2016-10-04,4.97,5.50,4.79,4.86,67400,4.86
2016-10-03,4.00,5.10,3.99,4.90,169500,4.90
2016-09-30,3.35,3.94,3.35,3.89,40900,3.89
2016-09-29,3.24,3.35,3.05,3.27,26200,3.27
2016-09-28,3.18,3.35,3.06,3.15,39500,3.15
2016-09-27,3.26,3.26,3.04,3.13,8800,3.13
2016-09-26,2.96,3.22,2.89,3.22,28400,3.22
2016-09-23,3.00,3.06,3.00,3.02,13400,3.02
2016-09-22,2.93,3.10,2.86,2.95,22400,2.95
2016-09-21,2.86,3.01,2.86,3.01,300,3.01
2016-09-20,2.95,3.15,2.85,2.85,13500,2.85
2016-09-19,3.08,3.08,2.91,2.91,10400,2.91
2016-09-16,2.94,3.15,2.85,3.15,21200,3.15
2016-09-15,3.02,3.02,2.91,2.91,5500,2.91
2016-09-14,3.11,3.15,2.90,3.15,20800,3.15
2016-09-13,3.38,3.55,3.05,3.05,19400,3.05
2016-09-12,3.59,3.59,3.36,3.42,1800,3.42
2016-09-09,3.45,3.62,3.36,3.42,6300,3.42
2016-09-08,3.50,3.57,3.50,3.51,7100,3.51
2016-09-07,3.83,3.83,3.54,3.55,15500,3.55
2016-09-06,4.07,4.07,3.80,3.83,7600,3.83
2016-09-02,4.13,4.20,3.95,4.19,8600,4.19
2016-09-01,3.90,4.00,3.85,3.86,24400,3.86
2016-08-31,4.13,4.18,3.90,4.06,27100,4.06
2016-08-30,4.30,4.33,4.15,4.21,19600,4.21
2016-08-29,3.85,4.49,3.85,4.39,40300,4.39
2016-08-26,3.47,3.95,3.40,3.90,29200,3.90
2016-08-25,3.42,3.54,3.16,3.50,55300,3.50
2016-08-24,3.11,3.22,3.03,3.03,211800,3.03
2016-08-23,3.28,3.28,3.13,3.13,3700,3.13
2016-08-22,3.23,3.28,3.03,3.28,4500,3.28
2016-08-19,3.18,3.28,3.15,3.15,1300,3.15
2016-08-18,3.19,3.19,3.19,3.19,000,3.19
2016-08-17,3.29,3.29,3.19,3.19,4200,3.19
2016-08-16,3.28,3.36,3.23,3.23,7000,3.23
2016-08-15,3.25,3.34,3.25,3.26,18800,3.26
2016-08-12,3.27,3.27,3.23,3.23,900,3.23
2016-08-11,3.26,3.28,3.26,3.26,1500,3.26
2016-08-10,3.12,3.30,3.12,3.30,5300,3.30
2016-08-09,3.12,3.19,3.05,3.19,4300,3.19
2016-08-08,3.17,3.17,3.10,3.10,2700,3.10
2016-08-05,3.17,3.19,3.17,3.18,900,3.18
2016-08-04,3.04,3.20,2.99,3.20,11300,3.20
2016-08-03,3.00,3.14,3.00,3.10,2600,3.10
2016-08-02,3.18,3.18,3.14,3.14,700,3.14
2016-08-01,3.14,3.18,3.09,3.18,5900,3.18
2016-07-29,3.16,3.21,3.09,3.18,5500,3.18
2016-07-28,3.39,3.39,2.98,3.27,7700,3.27
2016-07-27,3.45,3.45,3.45,3.45,200,3.45
2016-07-26,3.38,3.39,3.37,3.39,700,3.39
2016-07-25,3.32,3.42,3.31,3.42,2900,3.42
2016-07-22,3.50,3.50,3.45,3.45,2500,3.45
2016-07-21,3.43,3.45,3.36,3.40,22400,3.40
2016-07-20,3.48,3.48,3.39,3.48,2300,3.48
2016-07-19,3.39,3.41,3.39,3.41,400,3.41
2016-07-18,3.26,3.26,3.26,3.26,300,3.26
2016-07-15,3.37,3.37,3.37,3.37,000,3.37
2016-07-14,3.49,3.50,3.18,3.37,19700,3.37
2016-07-13,3.49,3.50,3.47,3.47,12400,3.47
2016-07-12,3.20,3.48,3.17,3.44,8200,3.44
2016-07-11,3.11,3.19,3.00,3.19,4300,3.19
2016-07-08,3.20,3.20,3.16,3.20,1000,3.20
2016-07-07,3.07,3.20,3.07,3.20,1800,3.20
2016-07-06,3.23,3.50,3.09,3.20,8800,3.20
2016-07-05,3.14,3.39,3.07,3.07,6300,3.07
2016-07-01,3.34,3.40,3.18,3.18,5900,3.18
2016-06-30,3.30,3.41,3.14,3.14,12900,3.14
2016-06-29,3.29,3.30,3.03,3.04,4500,3.04
2016-06-28,3.14,3.23,3.01,3.01,3200,3.01
