Date,Open,High,Low,Close,Volume,Adj Close
2016-11-02,14.45,14.91,12.37,12.72,37460800,12.72
2016-11-01,13.31,14.00,12.81,13.43,30789200,13.43
2016-10-31,11.35,12.25,11.05,12.16,22835900,12.16
2016-10-28,11.34,12.30,10.83,11.32,32031200,11.32
2016-10-27,12.60,12.67,11.20,11.38,20798100,11.38
2016-10-26,13.48,13.71,12.12,12.47,23574100,12.47
2016-10-25,12.81,13.88,12.44,13.47,20103300,13.47
2016-10-24,13.92,13.97,11.89,12.42,26040500,12.42
2016-10-21,13.12,13.48,12.93,13.44,17266500,13.44
2016-10-20,13.67,13.82,12.56,13.42,23239700,13.42
2016-10-19,13.18,13.83,12.65,13.61,33142900,13.61
2016-10-18,11.47,12.40,11.08,12.36,27881300,12.36
2016-10-17,10.58,11.03,10.20,10.79,17147900,10.79
2016-10-14,10.55,11.56,10.20,10.35,28837400,10.35
2016-10-13,10.60,12.11,10.35,11.21,27369300,11.21
2016-10-12,9.85,10.76,9.77,10.47,20408200,10.47
2016-10-11,10.38,10.66,9.72,9.78,21725500,9.78
2016-10-10,10.82,11.09,10.45,10.83,15772900,10.83
2016-10-07,11.14,11.48,9.62,10.41,39819100,10.41
2016-10-06,10.05,10.63,9.50,9.93,28982400,9.93
2016-10-05,11.85,12.07,10.02,11.35,31764900,11.35
2016-10-04,14.85,14.85,11.21,11.38,36197000,11.38
2016-10-03,17.18,17.67,15.74,16.52,16949300,16.52
2016-09-30,19.10,19.280001,17.10,17.43,15208100,17.43
2016-09-29,17.74,18.549999,17.219999,18.00,14632400,18.00
2016-09-28,17.030001,19.120001,15.75,18.459999,22773100,18.459999
2016-09-27,17.49,17.82,16.200001,16.99,14554300,16.99
2016-09-26,19.440001,19.99,18.00,18.200001,10959400,18.200001
2016-09-23,20.75,21.200001,18.25,18.889999,14315200,18.889999
2016-09-22,23.18,23.719999,20.58,21.09,19532200,21.09
2016-09-21,19.27,22.50,18.940001,22.18,27108200,22.18
2016-09-20,17.799999,18.469999,17.40,18.059999,10817700,18.059999
2016-09-19,18.58,18.76,17.65,17.99,13163700,17.99
2016-09-16,17.700001,19.00,17.00,17.35,15503300,17.35
2016-09-15,18.15,19.82,17.33,18.60,17232100,18.60
2016-09-14,19.049999,20.24,18.23,18.43,18595500,18.43
2016-09-13,19.75,20.51,17.209999,18.219999,18663700,18.219999
2016-09-12,17.18,21.469999,16.950001,20.90,25291700,20.90
2016-09-09,22.00,22.50,17.950001,18.43,22112300,18.43
2016-09-08,24.110001,24.879999,22.52,23.33,12801700,23.33
2016-09-07,25.02,25.18,21.950001,24.73,14958200,24.73
2016-09-06,23.09,25.639999,22.35,25.639999,15905200,25.639999
2016-09-02,20.50,21.42,19.049999,21.370001,19332400,21.370001
2016-09-01,15.57,18.40,15.20,18.17,17882900,18.17
2016-08-31,16.50,16.889999,15.40,15.97,12517600,15.97
2016-08-30,19.780001,20.379999,16.549999,17.280001,13221000,17.280001
2016-08-29,19.469999,21.33,19.25,20.60,6960100,20.60
2016-08-26,22.299999,23.99,19.58,20.459999,18337700,20.459999
2016-08-25,19.299999,22.17,18.27,20.99,13567900,20.99
2016-08-24,237.719994,238.099995,189.500008,190.890007,1549100,19.089001
2016-08-23,279.990005,280.499992,249.290009,250.419998,6961000,25.042
2016-08-22,273.500004,277.000008,262.999992,267.999992,6433000,26.799999
2016-08-19,297.000008,302.730007,285.680008,287.369995,7695000,28.737
2016-08-18,310.100002,317.169991,301.000004,316.809998,6424000,31.681
2016-08-17,302.010002,312.000008,279.179993,299.540005,10396000,29.954
2016-08-16,311.32,317.000008,305.00,309.93,5479000,30.993
2016-08-15,310.279999,317.390003,301.100006,306.100006,4611000,30.610001
2016-08-12,329.609985,329.609985,300.349998,307.070007,7266000,30.707001
2016-08-11,314.899998,332.879982,306.000004,306.210003,7240000,30.621
2016-08-10,326.559982,329.87999,305.00,315.970001,7395000,31.597
2016-08-09,294.680004,308.999996,291.000004,300.73,5877000,30.073
2016-08-08,278.999996,302.609997,276.520004,292.530003,6718000,29.253
2016-08-05,280.930004,287.530003,270.009995,278.369999,8298000,27.837
2016-08-04,306.609993,319.290009,304.020004,310.529995,6593000,31.052999
2016-08-03,295.499992,302.070007,284.330006,298.339996,6366000,29.834
2016-08-02,318.710003,323.320007,301.930008,305.00,7895000,30.50
2016-08-01,291.749992,308.859997,283.110008,306.580009,7763000,30.658001
2016-07-29,280.00,299.529991,272.059994,291.660004,12084000,29.166
2016-07-28,263.889999,267.719994,243.570004,259.920006,8549000,25.992001
2016-07-27,230.200005,262.110004,210.00,255.130005,12905000,25.513
2016-07-26,211.940002,227.180004,206.019993,219.120007,6890000,21.912001
2016-07-25,217.919998,217.919998,194.370003,197.800007,8360000,19.780001
2016-07-22,226.009998,234.519997,221.030006,228.920002,5233000,22.892
2016-07-21,212.399998,239.249992,208.689995,236.280003,8377000,23.628
2016-07-20,243.360004,243.360004,200.370007,205.860004,10633000,20.586
2016-07-19,280.00,282.989998,265.00,266.060009,4789000,26.606001
2016-07-18,283.829994,289.610004,272.000008,284.750004,6547000,28.475
2016-07-15,284.150009,300.440006,282.000008,285.279999,5295000,28.528
2016-07-14,273.740005,302.280006,271.509991,301.539993,6761000,30.153999
2016-07-13,283.880005,312.719994,277.999992,303.850002,7711000,30.385
2016-07-12,298.010006,307.900009,265.459995,268.029995,8678000,26.802999
2016-07-11,288.409996,315.039997,285.009995,306.019993,7441000,30.601999
2016-07-08,265.480003,301.700001,258.379993,300.909996,8198000,30.091
2016-07-07,279.419994,280.00,257.000008,263.619995,6512000,26.362
2016-07-06,272.870007,295.66,270.100002,293.869991,10125000,29.386999
