Date,Open,High,Low,Close,Volume,Adj Close
2016-11-02,18.459999,18.50,18.09,18.200001,11677500,18.200001
2016-11-01,18.700001,18.73,18.459999,18.60,10915100,18.60
2016-10-31,18.43,18.610001,18.40,18.58,10491800,18.58
2016-10-28,18.51,18.59,18.33,18.379999,8711000,18.379999
2016-10-27,18.60,18.639999,18.50,18.52,4106100,18.52
2016-10-26,18.57,18.620001,18.42,18.440001,6916600,18.440001
2016-10-25,18.84,18.84,18.68,18.74,5024500,18.74
2016-10-24,18.620001,18.68,18.559999,18.68,3587600,18.68
2016-10-21,18.530001,18.620001,18.50,18.59,3937000,18.59
2016-10-20,18.57,18.68,18.549999,18.59,4292200,18.59
2016-10-19,18.639999,18.809999,18.620001,18.73,8782300,18.73
2016-10-18,18.530001,18.610001,18.459999,18.52,10366600,18.52
2016-10-17,18.459999,18.48,18.26,18.280001,9068400,18.280001
2016-10-14,18.57,18.60,18.40,18.459999,4046900,18.459999
2016-10-13,18.52,18.65,18.379999,18.559999,7582200,18.559999
2016-10-12,18.700001,18.77,18.65,18.66,5576000,18.66
2016-10-11,18.959999,18.98,18.799999,18.84,6678300,18.84
2016-10-10,18.940001,19.129999,18.93,19.040001,5400600,19.040001
2016-10-07,18.950001,18.959999,18.700001,18.799999,6293500,18.799999
2016-10-06,18.860001,19.049999,18.82,19.02,6108100,19.02
2016-10-05,18.700001,18.879999,18.629999,18.809999,6352800,18.809999
2016-10-04,18.950001,18.950001,18.629999,18.67,7506500,18.67
2016-10-03,18.90,19.049999,18.809999,19.01,6308700,19.01
2016-09-30,18.790001,18.84,18.66,18.76,7857800,18.76
2016-09-29,18.90,19.030001,18.709999,18.76,9216100,18.76
2016-09-28,18.540001,18.92,18.389999,18.879999,11337100,18.879999
2016-09-27,18.50,18.559999,18.360001,18.43,6544200,18.43
2016-09-26,18.700001,18.77,18.540001,18.540001,4538100,18.540001
2016-09-23,18.790001,18.860001,18.58,18.610001,7351800,18.610001
2016-09-22,18.91,19.040001,18.879999,18.959999,5507000,18.959999
2016-09-21,18.48,18.76,18.41,18.76,9702600,18.76
2016-09-20,18.18,18.40,18.139999,18.33,2765800,18.33
2016-09-19,18.35,18.459999,18.24,18.26,4553300,18.26
2016-09-16,18.27,18.290001,18.110001,18.16,8076000,18.16
2016-09-15,18.24,18.48,18.17,18.42,8746700,18.42
2016-09-14,18.290001,18.450001,18.16,18.17,7408600,18.17
2016-09-13,18.41,18.450001,18.120001,18.190001,12527300,18.190001
2016-09-12,18.42,18.77,18.379999,18.73,7750200,18.73
2016-09-09,18.860001,18.870001,18.58,18.59,10615800,18.59
2016-09-08,19.16,19.34,19.049999,19.120001,7125700,19.120001
2016-09-07,19.18,19.18,19.01,19.129999,5509600,19.129999
2016-09-06,18.860001,19.110001,18.82,19.02,10884700,19.02
2016-09-02,18.459999,18.59,18.450001,18.549999,6906600,18.549999
2016-09-01,18.129999,18.23,18.01,18.139999,6455300,18.139999
2016-08-31,18.24,18.26,18.059999,18.120001,6808800,18.120001
2016-08-30,18.51,18.57,18.33,18.35,4304900,18.35
2016-08-29,18.26,18.459999,18.25,18.440001,3872300,18.440001
2016-08-26,18.469999,18.75,18.280001,18.360001,10640300,18.360001
2016-08-25,18.450001,18.57,18.41,18.559999,4404900,18.559999
2016-08-24,18.440001,18.52,18.35,18.469999,6265700,18.469999
2016-08-23,18.620001,18.790001,18.58,18.639999,5784200,18.639999
2016-08-22,18.530001,18.629999,18.459999,18.48,6543800,18.48
2016-08-19,18.75,18.75,18.629999,18.67,4806300,18.67
2016-08-18,18.790001,18.959999,18.74,18.870001,6488700,18.870001
2016-08-17,18.809999,18.93,18.66,18.90,5622800,18.90
2016-08-16,18.85,18.950001,18.74,18.91,4702300,18.91
2016-08-15,18.85,18.99,18.82,18.959999,7982400,18.959999
2016-08-12,18.559999,18.59,18.43,18.530001,6128400,18.530001
