Date,Open,High,Low,Close,Volume,Adj Close
2016-11-02,17.700001,18.68,17.51,18.32,56222300,18.32
2016-11-01,16.610001,19.120001,16.610001,17.57,74684300,17.57
2016-10-31,15.69,16.799999,15.62,16.59,33068100,16.59
2016-10-28,14.71,16.40,14.37,15.88,62343000,15.88
2016-10-27,13.68,14.75,13.65,14.64,28772600,14.64
2016-10-26,14.06,14.29,13.52,14.13,30244200,14.13
2016-10-25,13.20,13.80,13.17,13.45,28346000,13.45
2016-10-24,13.58,13.60,13.10,13.23,24021000,13.23
2016-10-21,15.01,15.15,14.18,14.23,30306200,14.23
2016-10-20,15.31,15.62,14.75,14.85,35963500,14.85
2016-10-19,15.30,15.75,15.01,15.26,26200100,15.26
2016-10-18,16.459999,16.700001,15.95,16.02,27699900,16.02
2016-10-17,17.360001,17.879999,17.15,17.41,29072600,17.41
2016-10-14,16.90,17.799999,16.65,17.58,42240400,17.58
2016-10-13,18.209999,19.17,17.450001,17.969999,62109900,17.969999
2016-10-12,16.719999,17.299999,16.10,16.91,41952100,16.91
2016-10-11,15.41,17.32,15.36,16.82,51661500,16.82
2016-10-10,15.50,15.61,14.93,15.19,20225900,15.19
2016-10-07,15.66,16.57,15.53,15.89,35703000,15.89
2016-10-06,16.190001,16.440001,15.71,15.83,26799600,15.83
2016-10-05,16.02,16.25,15.85,16.139999,26383700,16.139999
2016-10-04,16.219999,17.209999,15.74,16.389999,52898300,16.389999
2016-10-03,17.030001,17.290001,16.35,16.450001,31778700,16.450001
2016-09-30,16.85,17.469999,16.219999,16.65,44979300,16.65
2016-09-29,16.18,19.17,15.67,18.00,72906900,18.00
2016-09-28,16.18,17.32,15.94,16.030001,30621900,16.030001
2016-09-27,18.26,18.549999,16.120001,16.379999,31526400,16.379999
2016-09-26,17.74,18.66,17.51,18.280001,41219800,18.280001
2016-09-23,16.370001,16.68,16.08,16.49,26222200,16.49
2016-09-22,16.459999,16.870001,16.139999,16.200001,26641800,16.200001
2016-09-21,20.02,20.620001,17.15,17.40,50918400,17.40
2016-09-20,19.950001,21.280001,19.92,20.59,26013400,20.59
2016-09-19,20.57,21.790001,19.700001,20.93,33575600,20.93
2016-09-16,23.639999,24.459999,21.799999,22.08,48584400,22.08
2016-09-15,24.450001,25.35,22.059999,22.629999,38140300,22.629999
2016-09-14,24.09,25.209999,22.120001,24.50,56017100,24.50
2016-09-13,21.040001,26.10,20.91,24.629999,92052500,24.629999
2016-09-12,22.92,23.40,18.950001,19.40,71525800,19.40
2016-09-09,18.299999,22.50,18.16,22.42,76382300,22.42
2016-09-08,16.860001,17.360001,16.77,16.93,23654300,16.93
2016-09-07,17.299999,17.42,16.76,16.799999,21564200,16.799999
2016-09-06,17.950001,18.290001,17.26,17.299999,25448700,17.299999
2016-09-02,18.870001,19.030001,18.24,18.27,29755800,18.27
2016-09-01,19.65,20.700001,19.50,19.629999,31250100,19.629999
2016-08-31,19.780001,20.870001,19.59,19.85,30944600,19.85
2016-08-30,19.809999,20.34,19.52,19.65,23701800,19.65
2016-08-29,20.690001,20.700001,19.74,19.99,22563600,19.99
2016-08-26,20.35,22.209999,19.25,20.83,65105300,20.83
2016-08-25,21.389999,21.469999,20.209999,20.67,28348400,20.67
2016-08-24,19.98,21.120001,19.90,20.67,30139200,20.67
2016-08-23,19.620001,19.879999,19.379999,19.809999,21308300,19.809999
2016-08-22,20.02,20.549999,19.75,19.91,30325100,19.91
2016-08-19,20.030001,20.40,19.60,19.75,22917100,19.75
2016-08-18,20.459999,20.77,19.60,19.610001,22287100,19.610001
2016-08-17,21.27,22.40,20.139999,20.309999,32795700,20.309999
2016-08-16,20.84,21.68,20.82,21.450001,24264500,21.450001
2016-08-15,20.26,20.379999,19.85,20.040001,18244700,20.040001
2016-08-12,21.129999,21.65,20.41,20.700001,23936800,20.700001
2016-08-11,20.82,21.35,20.26,21.10,22675200,21.10
2016-08-10,20.10,22.129999,20.02,21.32,35536900,21.32
2016-08-09,20.450001,21.02,19.549999,20.35,30885800,20.35
2016-08-08,21.440001,21.67,21.030001,21.040001,17479100,21.040001
2016-08-05,22.49,22.540001,21.469999,22.030001,29638600,22.030001
2016-08-04,24.35,24.92,23.32,23.67,25704600,23.67
2016-08-03,26.43,26.959999,25.00,25.040001,22842700,25.040001
2016-08-02,24.98,27.799999,24.700001,26.309999,46270400,26.309999
2016-08-01,24.889999,25.76,23.77,24.43,29062500,24.43
2016-07-29,27.18,27.290001,24.90,25.35,23833900,25.35
2016-07-28,28.50,29.16,26.860001,27.24,23428900,27.24
2016-07-27,28.75,30.459999,27.700001,28.25,25927900,28.25
2016-07-26,30.200001,31.33,29.549999,29.629999,21639000,29.629999
2016-07-25,30.049999,32.43,29.629999,30.200001,20725400,30.200001
2016-07-22,6.32,6.42,5.97,6.10,43777300,30.50
2016-07-21,6.12,6.57,6.02,6.41,11509400,32.05
2016-07-20,6.18,6.30,5.96,6.08,8426300,30.40
2016-07-19,6.44,6.64,6.26,6.41,8584300,32.05
2016-07-18,6.74,6.81,6.33,6.44,9453500,32.200001
2016-07-15,6.64,7.11,6.57,6.69,12998400,33.450001
2016-07-14,6.61,6.82,6.52,6.74,10195200,33.700001
2016-07-13,6.84,7.10,6.72,6.78,10207000,33.900002
2016-07-12,6.98,7.30,6.93,7.00,8658800,35.000001
2016-07-11,7.11,7.36,6.96,7.33,7602200,36.650002
2016-07-08,7.80,7.91,7.21,7.32,10926300,36.599999
2016-07-07,8.42,9.07,8.15,8.32,11621800,41.599999
2016-07-06,9.45,9.72,8.68,8.69,13220100,43.450001
2016-07-05,9.17,9.83,9.09,9.16,12158700,45.80
2016-07-01,9.28,9.35,8.75,8.85,14235500,44.250001
2016-06-30,9.78,10.04,9.32,9.43,12793400,47.150002
2016-06-29,10.58,10.61,9.83,10.09,12443100,50.450002
2016-06-28,13.45,13.480001,11.28,11.43,15031200,57.150002
2016-06-27,14.930001,16.680001,14.610001,14.72,21188400,73.60
2016-06-24,14.19,15.54,12.25,14.95,24402800,74.750001
2016-06-23,11.49,11.86,10.26,10.40,13187300,52.000001
2016-06-22,12.08,13.24,11.41,12.92,13555100,64.599999
2016-06-21,11.51,12.53,11.47,12.07,10873900,60.349999
2016-06-20,12.09,12.14,11.21,11.95,10845500,59.750001
2016-06-17,13.92,14.45,13.42,13.92,11117900,69.60
2016-06-16,16.05,17.12,13.630001,13.94,14289300,69.699998
2016-06-15,14.710001,15.00,13.44,14.730001,12134800,73.650003
2016-06-14,16.32,16.75,14.530001,15.010001,24127300,75.050004
2016-06-13,13.20,15.760001,12.58,15.70,18232100,78.500001
2016-06-10,11.20,12.21,11.04,12.09,11895500,60.450002
2016-06-09,10.26,10.50,10.02,10.23,7726500,51.150002
2016-06-08,9.74,10.09,9.58,9.85,7173600,49.250001
2016-06-07,9.56,9.79,9.35,9.79,7173500,48.950001
2016-06-06,9.88,10.24,9.65,9.74,8867500,48.700001
2016-06-03,10.46,11.02,9.86,9.99,11130400,49.950002
2016-06-02,10.89,11.14,10.07,10.10,7618200,50.500001
2016-06-01,11.20,11.42,10.52,10.67,8713900,53.349999
2016-05-31,10.55,11.46,10.45,10.85,8642500,54.250001
2016-05-27,11.30,11.40,10.84,10.85,6240700,54.250001
2016-05-26,11.70,11.79,11.39,11.49,6525700,57.450002
2016-05-25,11.80,12.03,11.28,11.74,7016300,58.700002
2016-05-24,12.960001,12.98,11.92,12.20,9031100,61.000001
2016-05-23,13.460001,13.67,13.010001,13.360001,6721800,66.800004
2016-05-20,13.92,14.00,13.42,13.50,8684000,67.500001
2016-05-19,14.87,16.00,14.430001,14.52,14583700,72.60
2016-05-18,14.530001,15.02,13.460001,14.380001,14698300,71.900003
2016-05-17,13.510001,14.880001,13.35,14.49,8497600,72.449998
2016-05-16,14.42,14.44,12.95,13.30,7581600,66.500001
2016-05-13,13.64,14.85,13.110001,14.630001,10173900,73.150003
2016-05-12,13.67,14.82,13.19,13.630001,10085400,68.150003
2016-05-11,13.20,14.22,12.80,13.980001,6730100,69.900003
2016-05-10,13.82,13.880001,13.080001,13.130001,7243900,65.650003
2016-05-09,14.930001,15.05,13.930001,14.54,7466500,72.699998
2016-05-06,16.880001,16.92,15.160001,15.27,8910700,76.35
2016-05-05,16.12,17.29,16.00,16.760001,8668200,83.800004
2016-05-04,17.17,17.530001,16.54,16.79,9438600,83.949998
2016-05-03,15.90,16.99,15.79,16.360001,8025600,81.800004
2016-05-02,16.380001,16.74,14.69,15.05,8083900,75.250001
2016-04-29,16.40,18.50,16.010001,17.02,13628300,85.10
2016-04-28,14.860001,16.19,13.79,15.97,9797200,79.85
2016-04-27,15.65,15.79,14.010001,14.280001,8262400,71.400003
2016-04-26,15.510001,15.72,15.00,15.24,6012600,76.199998
2016-04-25,15.99,16.60,15.75,15.89,7936000,79.449998
2016-04-22,16.52,16.780001,15.39,15.510001,7847700,77.550004
2016-04-21,16.09,16.84,15.830001,16.35,9115500,81.750001
2016-04-20,15.160001,15.94,14.90,15.760001,8989400,78.800004
2016-04-19,15.160001,16.27,14.70,15.59,7717000,77.949998
2016-04-18,17.860001,17.89,15.160001,15.230001,8436300,76.150003
2016-04-15,17.80,18.230001,17.410001,17.44,6782100,87.199998
2016-04-14,17.960001,18.60,17.50,17.930001,6371900,89.650003
2016-04-13,19.12,19.280001,18.02,18.060001,7812800,90.300004
2016-04-12,21.52,22.530001,19.67,20.080001,9770700,100.400003
2016-04-11,20.230001,21.59,19.72,21.57,6094100,107.85
2016-04-08,20.47,21.810001,19.75,20.92,7207800,104.60
2016-04-07,19.680001,22.930001,19.230001,22.07,6511100,110.35
2016-04-06,21.22,21.54,18.580001,18.680001,6013200,93.400003
2016-04-05,20.65,21.580001,20.130001,21.37,7476500,106.85
2016-04-04,18.15,19.32,17.97,19.17,5691500,95.85
2016-04-01,20.580001,20.830001,18.110001,18.22,7014000,91.10
2016-03-31,19.42,19.92,18.59,19.330001,5682000,96.650003
2016-03-30,19.35,20.04,18.50,19.110001,5036500,95.550004
2016-03-29,22.79,23.180001,20.05,20.110001,6277000,100.550005
2016-03-28,22.830001,23.630001,21.97,22.730001,4512300,113.650003
2016-03-24,25.20,25.60,23.27,23.330001,6606400,116.650003
2016-03-23,22.00,23.830001,21.95,23.580001,6237500,117.900003
2016-03-22,22.74,22.87,21.25,21.560001,5644100,107.800005
2016-03-21,23.52,23.67,22.030001,22.15,5331300,110.750002
2016-03-18,23.25,24.47,22.65,23.50,5732900,117.500002
2016-03-17,25.410001,25.74,23.310001,23.89,6478400,119.449999
2016-03-16,28.14,28.229999,24.980001,25.430001,6157900,127.150003
2016-03-15,28.30,28.50,27.34,27.39,3392900,136.949999
2016-03-14,27.929999,28.379999,26.379999,26.70,3591800,133.500002
2016-03-11,29.15,29.479999,27.55,27.620002,5041700,138.100008
2016-03-10,30.779999,33.600001,28.810001,30.660001,6680100,153.300005
2016-03-09,31.94,33.179999,31.470002,31.84,4040000,159.199999
2016-03-08,31.60,32.84,30.760001,32.670002,5063900,163.350009
2016-03-07,31.470002,31.75,29.00,30.379999,4964000,151.899996
2016-03-04,28.620002,30.920002,28.310001,30.25,5017300,151.250002
2016-03-03,32.029999,32.510001,29.010001,29.579999,5096700,147.899996
2016-03-02,33.070002,34.060001,31.620002,31.69,3213300,158.449999
2016-03-01,37.94,38.750001,32.90,32.95,4567000,164.750002
2016-02-29,38.260001,39.950001,36.200001,39.74,4573900,198.70
2016-02-26,36.39,39.350001,36.000001,38.610001,5822700,193.050006
2016-02-25,39.74,41.34,37.550001,37.620002,4938100,188.100009
2016-02-24,44.370002,45.800001,40.000001,40.400001,7294500,202.000003
2016-02-23,38.220002,41.300001,37.650001,40.950001,3876600,204.750003
2016-02-22,39.560001,39.850001,37.110001,37.229999,3963900,186.149997
2016-02-19,45.829999,46.610001,41.84,41.950001,5452200,209.750003
2016-02-18,43.94,45.779999,42.920002,44.270002,5091000,221.350009
2016-02-17,45.979999,46.979999,44.04,44.600001,2986700,223.000003
2016-02-16,49.720002,51.370002,47.979999,48.360001,5414800,241.800007
2016-02-12,54.659998,57.309998,52.959998,53.259998,5935200,266.299992
2016-02-11,58.73,61.920002,55.570002,58.040003,8056900,290.200017
2016-02-10,48.970002,51.890003,47.19,51.78,5625200,258.899998
2016-02-09,54.03,54.459998,48.900001,50.850001,6722700,254.250004
2016-02-08,49.08,53.870002,48.179999,50.060001,6057500,250.300007
2016-02-05,42.160001,47.100001,42.060001,45.600001,6279000,228.000003
2016-02-04,42.510001,43.529999,40.34,42.300001,5560700,211.500003
2016-02-03,41.100001,47.329999,41.04,41.560001,7758700,207.800006
2016-02-02,39.910001,43.150001,39.770002,42.429999,5675200,212.149997
2016-02-01,38.860001,40.129999,36.629999,37.54,5150300,187.70
2016-01-29,41.350001,41.820002,38.229999,38.470002,5389400,192.350009
2016-01-28,42.020002,45.950001,41.310001,42.010001,5736200,210.050006
2016-01-27,42.600001,46.220002,39.800001,45.020002,6698600,225.100009
2016-01-26,44.660001,45.829999,41.44,41.570002,4597700,207.850009
2016-01-25,42.94,46.34,41.570002,45.94,4041300,229.70
