Date,Open,High,Low,Close,Volume,Adj Close
2016-11-02,20.09,20.60,18.91,19.639999,27720700,19.639999
2016-11-01,21.93,22.139999,20.57,21.450001,17715000,21.450001
2016-10-31,23.17,23.440001,21.18,21.209999,23370700,21.209999
2016-10-28,24.98,25.809999,23.790001,24.309999,17216900,24.309999
2016-10-27,25.690001,26.299999,25.139999,25.700001,12875100,25.700001
2016-10-26,24.74,26.43,24.51,24.92,17950900,24.92
2016-10-25,26.620001,27.18,25.83,26.02,15935500,26.02
2016-10-24,26.65,27.35,25.66,27.219999,17806800,27.219999
2016-10-21,27.139999,27.75,26.620001,27.700001,13477300,27.700001
2016-10-20,27.73,28.120001,26.98,27.209999,16613900,27.209999
2016-10-19,28.379999,29.92,28.25,28.950001,21319600,28.950001
2016-10-18,27.73,27.809999,26.559999,27.469999,12969600,27.469999
2016-10-17,27.27,27.34,26.209999,26.879999,11199300,26.879999
2016-10-14,27.83,27.92,26.83,27.51,14929800,27.51
2016-10-13,27.299999,27.969999,25.99,27.780001,17573100,27.780001
2016-10-12,27.639999,27.780001,26.90,27.42,12329500,27.42
2016-10-11,29.290001,29.66,27.719999,28.440001,17502400,28.440001
2016-10-10,28.10,29.790001,28.10,29.09,22088400,29.09
2016-10-07,27.860001,27.98,26.24,26.639999,17166800,26.639999
2016-10-06,27.74,28.18,27.09,28.08,17262800,28.08
2016-10-05,26.75,27.17,26.07,26.809999,22430600,26.809999
2016-10-04,25.76,25.860001,24.809999,25.09,20630000,25.09
2016-10-03,24.82,25.690001,23.940001,25.129999,18914700,25.129999
2016-09-30,24.309999,24.60,23.76,24.08,22140300,24.08
2016-09-29,23.030001,24.60,22.68,23.610001,36926800,23.610001
2016-09-28,20.290001,23.32,19.25,22.209999,58394300,22.209999
2016-09-27,19.60,20.209999,19.00,19.48,27593400,19.48
2016-09-26,20.620001,21.75,20.440001,21.059999,15647700,21.059999
2016-09-23,21.639999,22.17,19.200001,19.799999,29911000,19.799999
2016-09-22,22.18,22.40,21.610001,21.83,23355600,21.83
2016-09-21,20.25,21.190001,20.030001,21.129999,29733400,21.129999
2016-09-20,18.10,19.549999,17.870001,19.16,27601800,19.16
2016-09-19,19.01,19.950001,18.77,18.77,26008100,18.77
2016-09-16,18.43,19.25,18.309999,18.77,27665400,18.77
2016-09-15,19.67,20.34,18.950001,19.690001,22438800,19.690001
2016-09-14,20.50,21.48,19.10,19.440001,37719800,19.440001
2016-09-13,21.84,22.379999,20.959999,21.129999,17547100,21.129999
2016-09-12,21.35,23.50,21.129999,22.83,14341500,22.83
2016-09-09,23.889999,24.059999,22.51,22.610001,17704100,22.610001
2016-09-08,23.549999,25.549999,22.68,25.040001,34380700,25.040001
2016-09-07,21.58,22.40,20.969999,22.200001,20987700,22.200001
2016-09-06,20.299999,21.50,20.09,21.40,19288400,21.40
2016-09-02,20.360001,21.09,20.07,20.48,23130700,20.48
2016-09-01,20.389999,20.860001,18.90,19.59,27026500,19.59
2016-08-31,23.110001,23.459999,21.059999,21.49,18790700,21.49
2016-08-30,25.299999,25.540001,23.629999,23.93,17656600,23.93
2016-08-29,24.51,25.219999,24.25,24.780001,11939900,24.780001
2016-08-26,25.41,27.209999,24.77,25.360001,20666500,25.360001
2016-08-25,24.40,25.59,24.120001,25.40,16411400,25.40
2016-08-24,25.440001,26.059999,23.98,24.51,23244400,24.51
2016-08-23,24.51,27.10,24.32,26.52,18111000,26.52
2016-08-22,26.60,26.719999,25.530001,25.610001,18410800,25.610001
2016-08-19,28.50,28.700001,27.65,28.389999,19824600,28.389999
2016-08-18,26.90,28.450001,26.82,28.16,26552700,28.16
2016-08-17,25.200001,26.17,24.290001,26.07,26702600,26.07
2016-08-16,24.57,25.709999,23.99,25.48,27084100,25.48
2016-08-15,23.290001,24.469999,23.10,24.360001,24368300,24.360001
2016-08-12,21.459999,22.690001,21.23,22.65,25420300,22.65
2016-08-11,19.030001,21.50,18.90,20.90,28507600,20.90
2016-08-10,20.40,21.00,18.299999,18.360001,22343100,18.360001
2016-08-09,20.90,21.190001,19.82,20.129999,20622500,20.129999
2016-08-08,19.98,21.00,19.940001,20.27,21968300,20.27
2016-08-05,18.76,19.01,17.879999,18.98,21225500,18.98
2016-08-04,17.379999,19.25,17.24,18.82,26039100,18.82
2016-08-03,16.299999,18.07,15.73,18.01,29306100,18.01
2016-08-02,17.57,17.780001,15.73,16.24,19716200,16.24
2016-08-01,17.799999,17.98,16.49,16.68,25292500,16.68
2016-07-29,17.92,18.91,17.48,18.620001,21618200,18.620001
2016-07-28,19.190001,19.43,18.09,18.139999,19612600,18.139999
2016-07-27,20.75,21.15,18.950001,19.440001,22159300,19.440001
2016-07-26,20.74,21.129999,20.27,20.57,15912700,20.57
2016-07-25,21.40,21.549999,20.809999,20.959999,19067400,20.959999
2016-07-22,23.26,23.35,22.00,22.790001,19361300,22.790001
2016-07-21,24.58,25.129999,23.299999,23.309999,19971100,23.309999
2016-07-20,23.690001,25.799999,23.43,24.870001,21206500,24.870001
2016-07-19,25.389999,25.530001,24.610001,24.809999,12792800,24.809999
